Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Cooling Load,duration
0.7638,514.5,294,110.25,7,2,0,0,15.55,21.33,30
0.98,514.5,294,110.25,7,3,0,0,15.55,21.33,32
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33,34
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33,36
0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28,38
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38,40
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16,42
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6,44
0.86,588,294,147,7,2,0,0,19.5,27.3,46
0.86,588,294,147,7,3,0,0,19.95,21.97,48
0.86,588,294,147,7,4,0,0,19.34,23.49,50
0.86,588,294,147,7,5,0,0,18.31,27.87,52
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77,54
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46,56
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16,58
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93,60
0.79,637,343,147,7,2,0,0,28.52,37.73,62
0.79,637,343,147,7,3,0,0,29.9,31.27,64
0.79,637,343,147,7,4,0,0,29.63,30.93,66
0.79,637,343,147,7,5,0,0,28.75,39.44,68
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79,70
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68,72
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79,74
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4,76
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,78
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,80
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,82
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,84
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,86
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,88
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29,90
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,92
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,94
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,96
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,98
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,100
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,102
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,104
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,106
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,108
0.64,784,343,220.5,3.5,2,0,0,10.85,16.78,110
0.64,784,343,220.5,3.5,3,0,0,10.54,16.8,112
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75,114
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67,116
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,118
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,120
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,122
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04,124
0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47,126
0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37,128
0.98,514.5,294,110.25,7,4,0.1,1,24.63,26.44,130
0.98,514.5,294,110.25,7,5,0.1,1,24.59,26.29,132
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92,134
0.9,563.5,318.5,122.5,7,3,0.1,1,29.87,29.87,136
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58,138
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33,140
0.86,588,294,147,7,2,0.1,1,26.28,30.89,142
0.86,588,294,147,7,3,0.1,1,26.91,25.6,144
0.86,588,294,147,7,4,0.1,1,26.37,27.03,146
0.86,588,294,147,7,5,0.1,1,25.27,31.73,148
0.82,612.5,318.5,147,7,2,0.1,1,23.53,27.31,150
0.82,612.5,318.5,147,7,3,0.1,1,24.03,24.91,152
0.82,612.5,318.5,147,7,4,0.1,1,23.54,24.61,154
0.82,612.5,318.5,147,7,5,0.1,1,22.58,28.51,156
0.79,637,343,147,7,2,0.1,1,35.56,41.68,158
0.79,637,343,147,7,3,0.1,1,37.12,35.28,160
0.79,637,343,147,7,4,0.1,1,36.9,34.43,162
0.79,637,343,147,7,5,0.1,1,35.94,43.33,164
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87,166
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07,168
0.76,661.5,416.5,122.5,7,4,0.1,1,32.94,34.14,170
