Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Cooling Load
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68
0.76,661.5,416.5,122.5,7,4,0,0,24.77,29.79
0.76,661.5,416.5,122.5,7,5,0,0,23.93,29.4
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4
0.98,514.5,294,110.25,110.25,3,0.1,1,24.63,26.37
0.98,514.5,294,110.25,7,4,0.1,1,24.63,26.44
0.98,514.5,294,110.25,7,5,0.1,1,24.59,26.29
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03,32.92
0.9,563.5,318.5,122.5,7,3,0.1,1,29.87,29.87
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09,34.33
0.86,588,294,147,7,2,0.1,1,26.28,30.89
0.86,588,294,147,7,3,0.1,1,26.91,25.6
0.86,588,294,147,7,4,0.1,1,26.37,27.03
0.86,588,294,147,7,5,0.1,1,25.27,31.73
0.82,612.5,318.5,147,7,2,0.1,1,23.53,27.31
0.82,612.5,318.5,147,7,3,0.1,1,24.03,24.91
0.82,612.5,318.5,147,7,4,0.1,1,23.54,24.61
0.82,612.5,318.5,147,7,5,0.1,1,22.58,28.51
0.79,637,343,147,7,2,0.1,1,35.56,41.68
0.79,637,343,147,7,3,0.1,1,37.12,35.28
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96,33.87
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07
0.76,661.5,416.5,122.5,7,4,0.1,1,32.94,34.14
0.76,661.5,416.5,122.5,7,5,0.1,1,32.21,33.67
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27
0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44
0.9,563.5,318.5,122.5,7,4,0.1,2,28.83,29.36
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2
0.86,588,294,147,7,2,0.1,2,26.48,30.91
0.86,588,294,147,7,3,0.1,2,27.02,25.63
0.86,588,294,147,7,4,0.1,2,26.33,27.36
0.86,588,294,147,7,5,0.1,2,25.36,31.9
0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38
0.82,612.5,318.5,147,7,3,0.1,2,24.23,25.02
0.82,612.5,318.5,147,7,4,0.1,2,23.67,24.8
0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79
0.79,637,343,147,7,2,0.1,2,35.65,41.07
0.79,637,343,147,7,3,0.1,2,37.26,34.62
0.79,637,343,147,7,4,0.1,2,36.97,33.87
0.79,637,343,147,7,5,0.1,2,36.03,42.86
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71
0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58
0.86,588,294,147,7,2,0.25,1,29.54,33.98
0.86,588,294,147,7,3,0.25,1,30.05,28.61
0.86,588,294,147,7,4,0.25,1,29.6,30.12
0.86,588,294,147,7,5,0.25,1,28.66,34.73
0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17
0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39
